Date,nestle_price,norvatis_price
2021-04-08,108.260002,80.650002
2021-04-09,108.800003,80.900002
2021-04-12,108.300003,80.68
2021-04-13,107.779999,79.790001
2021-04-14,107.32,79.879997
2021-04-15,107.879997,80.529999
2021-04-16,108.699997,80.870003
2021-04-19,106.480003,80.940002
2021-04-20,105.959999,80.349998
2021-04-21,106.940002,81.230003
2021-04-22,110.019997,81.16999799999999
2021-04-23,109.639999,80.650002
2021-04-26,108.540001,80.43
2021-04-27,108.120003,79.120003
2021-04-28,108.379997,79.120003
2021-04-29,109.160004,78.279999
2021-04-30,108.879997,77.959999
2021-05-03,109.199997,78.559998
2021-05-04,107.959999,78.010002
2021-05-05,108.720001,78.879997
2021-05-06,108.900002,79.08000200000001
2021-05-07,109.120003,79.489998
2021-05-10,109.0,79.440002
2021-05-11,108.239998,78.91999799999999
2021-05-12,108.41999799999999,80.050003
2021-05-14,108.839996,80.489998
2021-05-17,109.620003,80.150002
2021-05-18,109.41999799999999,79.720001
2021-05-19,109.339996,79.059998
2021-05-20,110.440002,79.16999799999999
2021-05-21,110.540001,79.300003
2021-05-25,111.620003,79.449997
2021-05-26,111.779999,79.989998
2021-05-27,110.599998,79.550003
2021-05-28,111.120003,79.599998
2021-05-31,110.699997,78.91999799999999
2021-06-01,110.779999,79.300003
2021-06-02,111.519997,80.050003
2021-06-03,111.82,80.620003
2021-06-04,112.900002,81.019997
2021-06-07,112.82,80.790001
2021-06-08,113.400002,80.379997
2021-06-09,113.91999799999999,82.25
2021-06-10,113.739998,83.559998
2021-06-11,113.82,83.32
2021-06-14,113.82,83.839996
2021-06-15,114.599998,84.290001
2021-06-16,114.760002,85.18
2021-06-17,115.459999,85.93
2021-06-18,115.5,85.720001
2021-06-21,116.199997,86.160004
2021-06-22,116.239998,85.790001
2021-06-23,115.660004,84.949997
2021-06-24,116.0,85.08000200000001
2021-06-25,115.900002,84.660004
2021-06-28,116.120003,84.910004
2021-06-29,116.300003,84.57
2021-06-30,115.220001,84.32
2021-07-01,115.559998,84.41999799999999
2021-07-02,115.620003,84.519997
2021-07-05,115.139999,84.190002
2021-07-06,115.08000200000001,84.550003
2021-07-07,116.5,84.970001
2021-07-08,115.459999,84.110001
2021-07-09,115.199997,84.940002
2021-07-12,115.800003,85.43
2021-07-13,115.879997,85.099998
2021-07-14,115.459999,84.879997
2021-07-15,114.82,83.82
2021-07-16,115.739998,84.470001
2021-07-19,115.540001,83.08000200000001
2021-07-20,116.339996,83.339996
2021-07-21,116.040001,82.760002
2021-07-22,114.199997,83.82
2021-07-23,115.620003,84.57
2021-07-26,114.32,83.510002
